id,name,surface,status,call_pattern,feature,work,key_fields,ignore,notes,endpoint_method,endpoint_base_url,endpoint_path,endpoint_docs_url,endpoint_spec_file,data_source,capture_verified,capture_fixture,capture_sandbox_status,capture_finding,wired_as
393,getFullAccountStatementWithPagination,both,wired,sync,"Spend analytics + budget diagnosis (astra-backend /analytics/spend, /analytics/budgets) â€” currently on analyticsprovider.NewMockSource",Replace the mock transaction source with a sync worker that pages this API into spend_transactions.,"transactionDetails[].transactionSummary.{txnAmt,txnDate,txnDesc,txnType} | transactionDetails[].{txnCat,txnBalance,pstdDate,valueDate} | accountBalances.{availableBalance,ledgerBalance,fFDBalance,floatingBalance,userDefinedBalance} | hasMoreData",field125 | field126 | field127 | customData.THB,"5 balance types, not 2. Per-txn fields are nested under transactionSummary. Check whether txnCat is pre-populated by IDBI before building our own categoriser.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getFullAccountStatementWithPaginationtest,https://innobox.idbi.bank.in/api-specification/e7c58fee-dc58-4759-ac9a-159cb26f7a42/d2d078a6-e887-44b9-a648-6dc77590ec61,docs/idbireposne/Open API Specifications (14).yaml,idbi,True,internal/provider/idbi/testdata/Development_getFullAccountStatementWithPaginationtest.json,200,result{} envelope. Per-txn fields nested under transactionSummary; txnType 'D'/'C'. Page while result.hasMoreData=='Y'. Sandbox narrations are generic ('S1 TXN 1').,statementsync -> spend_transactions (POST /api/v1/idbi/spend/refresh)
365,performAccountEnquiry,both,wired,on-demand-cache,Balance shown on the home dashboard (/dashboard/summary exists; real balance not wired),Call on dashboard open with a short TTL cache; map acctBal[] rows by balType.,"acctBal[].{balType,balAmt.amountValue} | bankAcctStatusCode | acctOpenDt",bankInfo.postAddr | GL sub-head codes,"acctBal[] has multiple balType rows â€” select, don't index.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/performAccountEnquirytest,https://innobox.idbi.bank.in/api-specification/c36c574a-8f10-4271-8d06-cdaea4f4fd40/d1d8a2f4-85a4-4624-b367-9d51811ecd55,docs/idbireposne/Open API Specifications (11).yaml,idbi,True,internal/provider/idbi/testdata/Development_performAccountEnquirytest__Sample1.json,200,Flat envelope. 7 balType rows in acctBal[]. Returns custId + personName + registered postAddr â€” the identity-resolution entry point.,idbiaccounts.Refresh (GET /api/v1/idbi/accounts)
394,getCustomerAccountsByCustId,both,wired,sync,Consolidated IDBI holdings view (portfolio/dashboard exists for investments; bank accounts not listed),Sync into an accounts table; render Savings/Current/FD/Loan list. RM: 360 view.,"customerAccountInfo[].{acctNumber,acctType,acctCurrCode,acctBalance.amountValue} | numOfAccounts",customData.thb,,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getCustomerAccountsByCustIdtest,https://innobox.idbi.bank.in/api-specification/370ef1b0-a38f-4ca1-8ab9-b50f74c13a9a/a4ff4177-f6ac-48c8-b543-ac64d0d8f6a3,docs/idbireposne/Open API Specifications (1).yaml,idbi,True,internal/provider/idbi/testdata/Development_getCustomerAccountsByCustIdtest.json,200,Flat envelope. customerAccountInfo[] with acctType (SAVINGS/CURRENT/TERM_DEPOSIT/SALARY on test01). Keyed by cifId.,idbiaccounts.Refresh (GET /api/v1/idbi/accounts)
362,accountLienEnquiry,both,wired,sync,Investible-vs-locked balance (NEW â€” astra shows only a flat balance today),New: subtract active liens from balance; surface a 'locked' figure with reason. RM: stress signal.,"bankInfo.lienDetails.{newLienAmt,reasonCode,remarks,isDeleted,lienId} | bankInfo.lienDetails.lienDate.{startDate,endDate}",oldLienAmt history | branch metadata,"lienDetails is nested inside bankInfo. Usable = balance - sum(active lienAmt). SPEC: Spec confirms the standard error envelope: errors:[{code,title,description}] with codes like EH003 'Mandatory fields missing', plus 400/403/500. Note title/description, NOT type/message as the xlsx showed.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/accountLienEnquirytest,https://innobox.idbi.bank.in/api-specification/d19a7df9-7a80-4d2f-b74d-6401b3cc1cb7/7b38bf35-b991-49e8-b71a-646edfa27ad3,docs/idbireposne/Open API Specifications (13).yaml,idbi,True,internal/provider/idbi/testdata/Development_accountLienEnquirytest__Sample1.json,200,"result{} envelope, errors:[]. lienDetails nested INSIDE result.bankInfo. Sample2 -> 400 'addr does not match' â€” the API cross-validates bankInfo.postAddr against the account's registered address; source it from a prior 365.",idbiaccounts.AccountLien (GET /api/v1/idbi/accounts/{n}/lien)
739,getAccountStatementFromFinPro,both,wired,interactive,"Multi-bank statements via Account Aggregator (/aa handler has /accounts, /consent, /accounts/{id}/transactions â€” likely mock)",Wire the real AA statement fetch behind /accounts/{id}/transactions once consent + data-ready webhook land.,"data.Summary.{currentBalance,accountType,drawingLimit} | data.Transactions.Transaction[].{amount,type,narration,transactionDateTime,balance} | data.Profile.Holders.Holder.name | pageDetails",ver | micrCode | protocol wrappers,Source JSON in the sheet is missing commas between blocks â€” see payloads doc for the cleaned shape.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getAccountStatementFromFinProtest,https://innobox.idbi.bank.in/api-specification/4d0aa45f-e5bb-4ab4-a336-fe80500ecd55/59dedfad-1b1a-4b77-b847-d796a93717ec,docs/idbireposne/Open API Specifications (26).yaml,idbi,True,internal/provider/idbi/testdata/Development_getAccountStatementFromFinProtest.json,200,"data[] envelope. Richest statement: Profile.Holders.Holder[] (dob/pan/mobile/address/ckyc), Summary (ifsc/micrCode/currentBalance), Transactions.Transaction[] (mode/type DEBIT|CREDIT/narration/reference).",idbiaa.FetchStatements when IDBI_AA_STATEMENT_SOURCE=finpro
595,MoneyOneFIU_GetAccountStatement,both,wired,event,Same AA statement data as 739; the ingestion-side shape,Backend calls this after the 498 data-ready webhook; upsert into spend_transactions tagged by source bank.,"data[].Summary.{currentBalance,accountType,drawingLimit,currentODLimit} | data[].Transactions.Transaction[].{amount,type,narration,valueDate,transactionTimestamp} | data[].Profile.Holders.Holder[].{name,pan}",ver | status wrappers,Sheet's 'request' column for 595 is actually the response schema; 'response' cell just says 'Fetch statement through AA'.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getAccountStatementtest,https://innobox.idbi.bank.in/api-specification/ed2cc79e-6cd2-4d84-af0f-d608ce320618/b774f008-27b1-4123-8162-3b7f7a2e3b43,docs/idbireposne/Open API Specifications (24).yaml,idbi,True,internal/provider/idbi/testdata/Development_getAccountStatementtest.json,200,"data[] envelope, has pageDetails. Same shape as 739. Some test01 samples use 'transactionalBalance' instead of 'currentBalance' â€” accept both.",idbiaa.FetchStatements -> spend_transactions source='aa'
590,requestConsentFromFinPro,app,wired,interactive,'Link other bank accounts' â€” astra /aa has POST /consent (h.CreateConsent),Point CreateConsent at this API; store the returned consent handle.,data[].consent_handle | data[].status,ver | timestamps,Source key is literally 'consent_handle: ' (trailing colon+space) â€” trim it.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/requestConsentFromFinProtest,https://innobox.idbi.bank.in/api-specification/6804b0f7-7034-488a-bbf8-b90525128e34/57edafc1-4e70-47b6-9326-8a5c6356263a,docs/idbireposne/Open API Specifications (27).yaml,simulated,True,internal/provider/idbi/testdata/Development_requestConsentFromFinProtest.json,200,"data{status:'PENDING', consent_handle}. No real consent created â€” fixed handle. Build the flow; there is no live counterparty.",idbiaa.RequestConsent (POST /api/v1/aa/consent)
591,getConsentListFromFinPro,both,wired,on-demand-cache,'Manage connected accounts' screen (NEW â€” no consent-list endpoint in /aa today),New endpoint + screen: list active/expired consents and their linked FIP accounts; support revoke.,"data[].{consentID,status} | data[].accounts[].{fipName,fipId,accountType,maskedAccountNumber,linkReferenceNumber,fiType}",consentCreationData | internal product IDs,"SPEC: Spec request also carries vua (the AA VUA handle), which the xlsx omitted.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getConsentListFromFinProtest,https://innobox.idbi.bank.in/api-specification/ba5ab412-3bd6-43c7-8044-68a777e5a177/645c953d-aa03-4513-96c7-63798fccecad,docs/idbireposne/Open API Specifications (21).yaml,idbi,True,internal/provider/idbi/testdata/Development_getConsentListFromFinProtest.json,200,data[] envelope. Real consent list with linked accounts[] (accountType/linkReferenceNumber/maskedAccountNumber/fiType). accountID is comma-joined on the test01 variant.,idbiaa.Refresh (POST /api/v1/aa/consents/{h}/refresh)
592,getWebRedirectionEncryptedURL,app,wired,interactive,Redirect step of AA linking (NEW),New: exchange consent handle for the OneMoney webview URL; open it in-app.,data[].webRedirectionUrl,ver | message,Source key has a leading space: ' webRedirectionUrl'.,POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/getWebRedirectionEncryptedURLtest,https://innobox.idbi.bank.in/api-specification/be2b4350-2341-4bbc-a0b5-f15922b8e582/9e816d01-63cf-4d0d-9165-79295e9fede1,docs/idbireposne/Open API Specifications (22).yaml,simulated,True,internal/provider/idbi/testdata/Development_getWebRedirectionEncryptedURLtest.json,200,data[].webRedirectionUrl is a DUMMY webrd.onemoney.in/uat link that renders nothing. Gate opening it behind IDBI_AA_REDIRECT_MODE=stub|live.,idbiaa.RequestConsent live mode
593,generateDecryptedResponseFromFinPro,app,wired,interactive,Read the AA approve/reject result on return (NEW),"New: decrypt the redirect callback; branch on errorCode (0=approved, 1=rejected).","data[].{status,errorCode,sessionId,txnId,userid}",srcref | redirect,"Every key inside data[0] has a leading space in the source. SPEC: Spec request wraps args: {webRedirectionURL:{ecres,resdate,fi}} â€” not flat as the xlsx showed. ecres is the long encrypted blob from the redirect return.",POST,https://sandboxpocgatewayprod.idbi.bank.in,/Development/generateDecryptedResponseFromFinProtest,https://innobox.idbi.bank.in/api-specification/f8734776-9591-44e0-abf6-e3f09a39d08d/f460b7ba-41d5-4b67-874d-0d3c5432f497,docs/idbireposne/Open API Specifications (25).yaml,simulated,True,internal/provider/idbi/testdata/Development_generateDecryptedResponseFromFinProtest.json,200,"data{status:'S', errorcode:'0', sessionid, txnid, userid}. Canned decode. errorcode=='0' => approved.",idbiaa.CompleteRedirect (POST /api/v1/aa/consents/callback)
